Municipality,2017,2018,2019,2020,2021
Jerônimo Monteiro,141196000,136630000,141256000,149316000,172125000
João Neiva,352217000,456315000,427351000,380488000,646255000
Laranja Da Terra,134529000,130640000,141148000,155926000,187688000
Linhares,5481441000,6384081000,6066596000,6782343000,8036008000
Mantenópolis,167174000,155555000,155338000,170026000,203075000
Marataízes,1611911000,2502763000,5286038000,3622341000,6659696000
Marechal Floriano,416725000,380856000,438147000,494398000,516906000
Marilândia,255451000,249746000,233115000,227809000,312886000
Mimoso Do Sul,463953000,434973000,441085000,490604000,607415000
Montanha,343194000,340391000,340465000,368402000,410506000
Mucurici,72192000,68309000,78194000,87653000,96748000
Muniz Freire,277266000,304353000,273855000,344374000,383338000
Muqui,195163000,187828000,197433000,203238000,234321000
Nova Venécia,930594000,936928000,1035233000,1208706000,1339644000
Pancas,237776000,268628000,250151000,280182000,358499000
Pedro Canário,287403000,284493000,317869000,348014000,401437000
Pinheiros,464113000,501530000,570495000,693596000,861702000
Piúma,472552000,614876000,679354000,580058000,876050000
Ponto Belo,81260000,79722000,85241000,94035000,107548000
Presidente Kennedy,3437934000,6693537000,5383038000,3514090000,6811825000
Rio Bananal,380375000,356264000,389854000,437064000,525682000
Rio Novo Do Sul,178825000,183646000,200176000,206963000,229883000
Santa Leopoldina,197705000,200879000,205461000,281296000,330158000
Santa Maria De Jetibá,1368187000,1369754000,1486665000,1519634000,1631424000
Santa Teresa,466457000,448310000,482396000,495963000,577185000
São Domingos Do Norte,229837000,244991000,465991000,258287000,331339000
São Gabriel Da Palha,569182000,580289000,632888000,682743000,762065000
São José Do Calçado,164217000,161496000,163295000,173468000,203596000
São Mateus,2111893000,2288347000,2393051000,2576181000,2947644000
São Roque Do Canaã,217751000,173274000,190705000,208788000,228984000
Serra,18595239000,25025755000,24321132000,24941902000,37279406000
Sooretama,560705000,511764000,489978000,544509000,667529000
Vargem Alta,377215000,301685000,335602000,370201000,430100000
Venda Nova Do Imigrante,578502000,599117000,600441000,642358000,702153000
Viana,2142039000,2630356000,2940204000,3517814000,4227568000
Vila Pavão,136966000,128169000,119618000,150797000,180643000
Vila Valério,257152000,263865000,293862000,317387000,434064000
Vila Velha,10959511000,12235569000,12699809000,12595436000,16305842000
Vitória,20252080000,25518127000,23656637000,25517575000,31423573000
Angra Dos Reis,10106295000,8942168000,9828660000,10397760000,11194244000
Aperibé,171697000,181569000,208718000,223026000,249125000
Araruama,2515123000,2676428000,3686098000,3529276000,4234265000
Areal,325726000,315392000,354392000,389827000,427444000
Armação Dos Búzios,1713499000,2361779000,2628093000,2053833000,2970333000
Arraial Do Cabo,724388000,1291857000,2557039000,1828909000,2705477000
Barra Do Piraí,2014883000,2061848000,2115455000,2466252000,2713911000
Barra Mansa,4884834000,5565508000,5486252000,5906391000,6449309000
Belford Roxo,8189053000,7956748000,8061960000,8763446000,8839808000
Bom Jardim,654387000,676541000,697899000,867982000,887304000
Bom Jesus Do Itabapoana,728093000,761618000,729617000,869846000,908167000
Cabo Frio,8600620000,10972209000,11521218000,9328185000,12359627000
Cachoeiras De Macacu,966055000,1033179000,1108135000,1214996000,1305514000
Cambuci,317613000,336837000,353667000,404958000,400563000
Carapebus,368299000,521794000,453285000,439157000,726769000
Comendador Levy Gasparian,361375000,390892000,424146000,487477000,603975000
Campos Dos Goytacazes,21110490000,32338283000,29136988000,23852870000,37179860000
Cantagalo,681590000,765208000,730607000,755569000,841421000
Cardoso Moreira,320020000,279271000,294027000,353586000,395482000
Carmo,416980000,456038000,470439000,581549000,561153000
Casimiro De Abreu,1371161000,2187857000,2062389000,1582755000,2352168000
Conceição De Macabu,321641000,355204000,376627000,420666000,434144000
Cordeiro,463597000,508060000,398691000,414304000,456176000
Duas Barras,194384000,210017000,214616000,239246000,249220000
Duque De Caxias,40904756000,41581757000,45373762000,47194544000,53136666000
Engenheiro Paulo De Frontin,248268000,264305000,251671000,272054000,406744000
Guapimirim,921105000,983893000,1061591000,1174793000,1364014000
Iguaba Grande,462238000,489370000,537136000,565912000,631409000
Itaboraí,4186706000,4486979000,4933377000,5422086000,5640738000
Itaguaí,7568805000,8061179000,7950438000,8839470000,10502749000
Italva,327528000,306436000,331482000,390584000,418766000
Itaocara,503244000,542765000,552491000,632049000,635896000
Itaperuna,2705960000,2793922000,3103972000,3315705000,3394972000
Itatiaia,4363453000,4981040000,4474511000,4586151000,6893431000
Japeri,1615656000,1445448000,1437700000,1460760000,1530205000
Laje Do Muriaé,133935000,137864000,151483000,166433000,184165000
Macaé,15378420000,15435162000,15102699000,15357697000,17747016000
Macuco,160915000,153568000,169810000,198807000,214875000
Magé,3856684000,3902085000,4256201000,4442847000,4765844000
Mangaratiba,3601509000,3596423000,2473488000,2643257000,3211900000
Maricá,11456251000,26982734000,37524886000,35618819000,85814296000
Mendes,299499000,324100000,350314000,366145000,357694000
Mesquita,2313400000,2261961000,2319747000,2530494000,2619229000
Miguel Pereira,654041000,589782000,614767000,595210000,632510000
Miracema,490113000,529860000,570590000,635748000,662192000
Natividade,246256000,280723000,297785000,322586000,324266000
Nilópolis,2644231000,2803408000,2911667000,2985431000,3059486000
Niterói,27489576000,40376961000,46549869000,40975718000,66345730000
Nova Friburgo,5015569000,5243798000,5359697000,5683088000,6324935000
Nova Iguaçu,16836919000,16869469000,17423436000,17210824000,17794593000
Paracambi,893120000,976701000,986925000,1001272000,1162885000
Paraíba Do Sul,931266000,996588000,1005739000,1302214000,1253032000
Paraty,1591755000,2619607000,2760234000,1719490000,1955303000
Paty Do Alferes,534908000,545971000,557462000,639645000,684863000
Petrópolis,12817939000,12761259000,13662993000,15388292000,15665448000
Pinheiral,409247000,526633000,716240000,777071000,1452647000
Piraí,1858360000,1886912000,2231565000,2612517000,2449990000
Porciúncula,334102000,350147000,348627000,417428000,415950000
Porto Real,2858922000,2894247000,2424736000,2433344000,4245742000
Quatis,255484000,265051000,277991000,314017000,305015000
Queimados,3704985000,3627917000,3877125000,3851232000,4361718000
Quissamã,1445640000,2471196000,3822545000,3047661000,5996913000
Resende,7735583000,8471496000,8565370000,8123187000,10754410000
Rio Bonito,1600886000,1663589000,1555794000,1730819000,1831415000
Rio Claro,359021000,401562000,390420000,469707000,435971000
Rio Das Flores,243838000,205351000,218301000,275517000,294391000
Rio Das Ostras,5602589000,8591344000,7745325000,6342613000,8949070000
Rio De Janeiro,337675255000,363403233000,354932611000,331471515000,359634753000
Santa Maria Madalena,173484000,181395000,189002000,212259000,234582000
Santo Antônio De Pádua,1049780000,1112973000,1158143000,1195427000,1284644000
São Francisco De Itabapoana,939797000,1023335000,1013581000,1245619000,1184531000
São Fidélis,669862000,695121000,751081000,800639000,845192000
São Gonçalo,17228897000,18554621000,18368097000,19009507000,20324883000
São João Da Barra,4693340000,7204709000,7968880000,6463427000,9886875000
São João De Meriti,9196061000,9319208000,9746519000,9112402000,8963782000
São José De Ubá,159812000,204869000,179374000,169063000,196862000
São José Do Vale Do Rio Preto,452015000,532224000,544438000,700757000,738568000
São Pedro Da Aldeia,2159191000,2289650000,2437962000,2592106000,2743661000
São Sebastião Do Alto,181138000,203376000,203161000,230672000,241289000
Sapucaia,710790000,746394000,753960000,836397000,1000575000
Saquarema,2093438000,3104960000,10711481000,15156219000,42178208000
Seropédica,4212583000,4486969000,4159296000,4629949000,4777037000
Silva Jardim,448748000,465723000,494821000,559702000,602644000
Sumidouro,361782000,448029000,440265000,611065000,600127000
Tanguá,515332000,550442000,579270000,621334000,694549000
Teresópolis,5090374000,5165476000,5229226000,5757344000,5923947000
Trajano De Moraes,180214000,195808000,206651000,230684000,242020000
Três Rios,3716629000,3988535000,4365979000,5399663000,6348173000
Valença,2200072000,2576172000,2051662000,2245815000,3122612000
Varre-Sai,183085000,187063000,203016000,250289000,264154000
Vassouras,918386000,983905000,1090969000,1280257000,1321272000
Volta Redonda,11311118000,13407989000,11017493000,11636497000,19671281000
Adamantina,1040824000,1070910000,1191134000,1243768000,1370866000
Adolfo,100915000,92203000,112493000,136758000,115490000
Aguaí,955578000,972613000,1046725000,1143458000,1314737000
Águas Da Prata,154592000,166764000,172428000,186999000,209004000
Águas De Lindóia,475745000,490463000,530696000,492385000,585604000
Águas De Santa Bárbara,150486000,166832000,174587000,200451000,217296000
Águas De São Pedro,132809000,135911000,146025000,136433000,147855000
Agudos,2047051000,2202017000,2146823000,2308691000,2638623000
Alambari,102850000,98483000,105393000,121302000,129390000
Alfredo Marcondes,80860000,83078000,87021000,111138000,120355000
Altair,212223000,106769000,90689000,111753000,112274000
Altinópolis,524962000,497041000,536419000,654362000,833396000
Alto Alegre,111220000,106184000,121525000,116734000,113585000
Alumínio,1859450000,2104874000,2306521000,2287257000,3982313000
Álvares Florence,105675000,119675000,101240000,112203000,124351000
Álvares Machado,522754000,530826000,547949000,618885000,709876000
Álvaro De Carvalho,50876000,49844000,50648000,53435000,58586000
Alvinlândia,64455000,51885000,50661000,57564000,58405000
Americana,10984203000,11340521000,11861436000,11956361000,15217280000
Américo Brasiliense,981226000,832952000,952230000,1081155000,1230444000
Américo De Campos,104202000,117659000,102165000,109058000,126802000
Amparo,4205649000,4635338000,4238764000,4591225000,5152156000
Analândia,160416000,182300000,177620000,198923000,208314000
Andradina,1976248000,1887475000,2308232000,2632786000,2845285000
Angatuba,987426000,938453000,1062935000,1319743000,1474152000
Anhembi,156176000,179814000,147839000,155830000,169558000
Anhumas,85031000,72983000,76301000,82843000,105621000
Aparecida,1047692000,1082492000,1143490000,974272000,1041067000
Aparecida D'Oeste,134357000,103616000,124678000,155265000,151540000
Apiaí,651325000,593338000,615744000,715303000,897713000
Araçariguama,2842564000,3268408000,3451347000,3333379000,4814504000
Araçatuba,6967839000,7346861000,7880168000,8207617000,9017958000
Araçoiaba Da Serra,655311000,861183000,853567000,1021043000,1205884000
Aramina,150202000,139636000,148140000,155750000,150277000
Arandu,123457000,117582000,139192000,182397000,194818000
Arapeí,29846000,30663000,33932000,39782000,45568000
Araraquara,9289707000,9413147000,10030033000,10653869000,11953237000
Araras,5381997000,5560316000,5936326000,6418948000,6942567000
Arco-Íris,48215000,51858000,43141000,84018000,62096000
Arealva,212989000,206165000,216242000,244561000,227083000
Areias,43617000,43092000,46256000,56514000,58113000
Areiópolis,136809000,143061000,141894000,146373000,163060000
Ariranha,770044000,566622000,877119000,1007824000,1136911000
Artur Nogueira,1099912000,1178215000,1274147000,1483276000,1721737000
Arujá,5415782000,6152757000,6489059000,7774011000,8293370000
Aspásia,33421000,35190000,33286000,40104000,39546000
Assis,3323419000,3360766000,3543062000,3776892000,4082516000
Atibaia,6466468000,7139720000,6930067000,7374355000,8361032000
Auriflama,294993000,303052000,311982000,326165000,358544000
Avaí,266052000,271749000,293244000,394601000,376094000
Avanhandava,382120000,315620000,417246000,458955000,199389000
Avaré,2639476000,2737028000,2746956000,2798702000,3278922000
Bady Bassitt,340196000,352955000,389811000,464718000,551849000
Balbinos,55456000,54951000,54698000,61939000,65400000
Bálsamo,216961000,202489000,216529000,246920000,278642000
Bananal,201894000,180695000,186942000,203995000,216018000
Barão De Antonina,43662000,53202000,63056000,68935000,74956000
Barbosa,88827000,100071000,113911000,119482000,109125000
Bariri,1130698000,1150796000,1222200000,1362188000,1623406000
Barra Bonita,1305458000,1089225000,1287035000,1359750000,1515653000
Barra Do Chapéu,82287000,81174000,116341000,143890000,133738000
Barra Do Turvo,86409000,91021000,96888000,109151000,125821000
Barretos,4680236000,4857180000,4837986000,5013749000,5903516000
Barrinha,467961000,512935000,502307000,553900000,624816000
Barueri,47741849000,50562704000,52744931000,51600338000,58027667000
Bastos,1065663000,959487000,1093736000,978212000,1067217000
Batatais,1533590000,1581338000,1906258000,2077090000,2416803000
Bauru,13869778000,14639474000,15335140000,15129058000,16721368000
Bebedouro,3220583000,3343965000,3311922000,3269355000,4080485000
Bento De Abreu,186128000,118390000,157951000,207555000,210460000
Bernardino De Campos,228972000,198187000,293725000,301537000,377950000
Bertioga,1604987000,1692656000,1830459000,1902031000,2067677000
Bilac,182768000,192744000,210176000,268530000,292577000
Birigui,3186670000,3329285000,3460023000,3671918000,3947388000
Biritiba-Mirim,707867000,687563000,758410000,996878000,971016000
Boa Esperança Do Sul,368586000,306756000,331557000,361999000,380753000
Bocaina,225273000,215906000,229691000,236483000,281964000
Bofete,169057000,187091000,181507000,210809000,212434000
Boituva,2679117000,2378102000,2854010000,2971680000,3393229000
Bom Jesus Dos Perdões,827558000,908350000,956238000,1129289000,1463036000
Bom Sucesso De Itararé,53769000,62343000,59583000,65836000,63857000
Borá,81500000,49205000,51776000,68107000,74195000
Boracéia,372153000,365386000,397804000,441392000,519153000
Borborema,405882000,369046000,411771000,470940000,518182000
Borebi,62227000,65044000,58450000,68863000,73943000
Botucatu,4280452000,4622545000,5139636000,5073778000,5979359000
Bragança Paulista,5636712000,6303023000,6494155000,6831380000,7954300000
Braúna,94102000,98117000,97760000,116873000,120687000
Brejo Alegre,171894000,82468000,56672000,60616000,75675000
Brodowski,649017000,609603000,709509000,811581000,894831000
Brotas,767815000,692054000,962269000,986668000,1123987000
Buri,368329000,412614000,468009000,674027000,684130000
Buritama,621093000,590078000,636588000,709786000,627565000
Buritizal,186082000,173231000,174039000,229391000,244488000
Cabrália Paulista,83191000,82744000,59039000,81956000,102882000
Cabreúva,4496543000,4674182000,5346934000,5400646000,5961333000
Caçapava,4184497000,3990604000,4479062000,4514762000,5214553000
